seed,n_train_pairs,n_test_pairs,n_accounts,values_acc,schema_acc,oracle_acc,elapsed_s,values_recall_account_balance_break,values_recall_balance_break,values_recall_cardinality_break,values_recall_fk_break,schema_recall_account_balance_break,schema_recall_balance_break,schema_recall_cardinality_break,schema_recall_fk_break,oracle_recall_account_balance_break,oracle_recall_balance_break,oracle_recall_cardinality_break,oracle_recall_fk_break
0,1000,500,200,0.499,0.997,1.0,109.4,0.552,0.472,0.424,0.52,1.0,0.976,1.0,1.0,1.0,1.0,1.0,1.0
1,1000,500,200,0.499,0.999,1.0,110.3,0.472,0.48,0.488,0.504,0.992,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1000,500,200,0.504,1.0,1.0,108.1,0.456,0.488,0.544,0.496,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
