seed,n_train_pairs,n_test_pairs,n_accounts,values_acc,rows_acc,relation_acc,schema_acc,oracle_acc,elapsed_s,values_recall_account_balance_break,values_recall_balance_break,values_recall_cardinality_break,values_recall_fk_break,rows_recall_account_balance_break,rows_recall_balance_break,rows_recall_cardinality_break,rows_recall_fk_break,relation_recall_account_balance_break,relation_recall_balance_break,relation_recall_cardinality_break,relation_recall_fk_break,schema_recall_account_balance_break,schema_recall_balance_break,schema_recall_cardinality_break,schema_recall_fk_break,oracle_recall_account_balance_break,oracle_recall_balance_break,oracle_recall_cardinality_break,oracle_recall_fk_break
0,1000,500,200,0.499,0.5,0.75,0.997,1.0,159.8,0.552,0.472,0.424,0.52,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.976,1.0,1.0,1.0,1.0,1.0,1.0
1,1000,500,200,0.499,0.5,0.75,0.999,1.0,162.4,0.472,0.48,0.488,0.504,0.0,0.0,0.0,0.0,0.0,0.008,1.0,1.0,0.992,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1000,500,200,0.504,0.5,0.749,1.0,1.0,158.7,0.456,0.488,0.544,0.496,0.0,0.0,0.0,0.0,0.008,0.008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,1000,500,200,0.498,0.5,0.75,0.997,1.0,159.0,0.52,0.512,0.536,0.576,0.0,0.0,0.0,0.0,0.0,0.016,1.0,1.0,1.0,0.976,1.0,1.0,1.0,1.0,1.0,1.0
4,1000,500,200,0.502,0.5,0.749,0.998,1.0,159.5,0.512,0.528,0.56,0.624,0.0,0.0,0.0,0.0,0.016,0.008,1.0,1.0,1.0,0.984,1.0,1.0,1.0,1.0,1.0,1.0
