noise_scale,values_acc_mean,values_acc_std,schema_acc_mean,schema_acc_std,max_1way_tv_mean,max_1way_tv_max,tost_p_at_delta_002,tost_p_at_delta_005,n_pooled_test_states,elapsed_s
0.001,0.5,0.0016329931618554536,1.0,0.0,0.044000000000000004,0.052000000000000005,0.06066762517924085,5.3755588364734486e-05,1500,158.9
0.005,0.5006666666666667,0.005249338582674546,1.0,0.0,0.044000000000000004,0.052000000000000005,0.0671244669580292,6.636238255586235e-05,1500,154.4
0.01,0.49933333333333335,0.0018856180831641283,0.9993333333333334,0.0009428090415820641,0.044000000000000004,0.052000000000000005,0.06712446695802865,6.636238255586235e-05,1500,154.2
0.025,0.5033333333333333,0.00659966329107445,0.9993333333333334,0.0009428090415820641,0.05200000000000001,0.05600000000000001,0.09834782710908074,0.0001502522085646829,1500,159.5
0.05,0.5046666666666667,0.0024944382578492965,0.9993333333333334,0.0009428090415820641,0.05866666666666667,0.07200000000000001,0.11746268283328021,0.00022266045323193762,1500,158.7
