seed,baseline,accuracy,recall_cardinality_break,recall_derivation_break,recall_fk_break,recall_transition_break
0,HistGB values-only,0.49333333333333335,0.4878048780487805,0.4827586206896552,0.45454545454545453,0.5833333333333334
0,HistGB relation-only,0.9033333333333333,1.0,0.0,1.0,1.0
0,HistGB schema-aware,1.0,1.0,1.0,1.0,1.0
1,HistGB values-only,0.49666666666666665,0.6363636363636364,0.36363636363636365,0.59375,0.5365853658536586
1,HistGB relation-only,0.89,1.0,0.0,1.0,1.0
1,HistGB schema-aware,1.0,1.0,1.0,1.0,1.0
2,HistGB values-only,0.5,0.43333333333333335,0.5789473684210527,0.38095238095238093,0.55
2,HistGB relation-only,0.8733333333333333,1.0,0.0,1.0,1.0
2,HistGB schema-aware,1.0,1.0,1.0,1.0,1.0
