seed,baseline,accuracy,cardinality_break,derivation_break,fk_break,transition_break
0,TabPFN values-only,0.502,0.7863247863247863,0.8189655172413793,0.7552447552447552,0.7661290322580645
1,TabPFN values-only,0.501,0.4031007751937985,0.46031746031746035,0.4552845528455285,0.38524590163934425
2,TabPFN values-only,0.501,0.19999999999999996,0.2706766917293233,0.24590163934426235,0.19999999999999996
3,TabPFN values-only,0.502,0.5789473684210527,0.5826771653543308,0.6390977443609023,0.5873015873015873
4,TabPFN values-only,0.5,0.4821428571428571,0.5775862068965517,0.5625,0.5546875
