violation_type,observed_mi,null_mean,null_std,z_score,p_shuffle
cardinality_break,0.011764734514399189,0.22428569083072977,0.1106109156374003,-1.9213380080227087,1.0
derivation_break,0.03400690505645754,0.22289824566510308,0.12077629586304017,-1.563976931556566,0.995
fk_break,0.02647193643031298,0.2223407939224623,0.11995011096744798,-1.6329193521571994,0.998
transition_break,0.027045593932758294,0.22080744046012743,0.11964333653671419,-1.619495511711266,0.996
pooled,0.012249605075136838,0.11131301267348903,0.05318234319533872,-1.8627123523777873,0.999
