seed,baseline,accuracy,n_train_pairs,n_test_pairs,n_features,recall_cardinality_break,recall_derivation_break,recall_fk_break,recall_transition_break
0,RDB-PFN values-only,0.5,100,50,35,1.0,0.9090909090909091,1.0,1.0
0,RDB-PFN relation-only,0.89,100,50,249,1.0,0.0,1.0,1.0
0,RDB-PFN schema-aware,1.0,100,50,42,1.0,1.0,1.0,1.0
1,RDB-PFN values-only,0.52,100,50,35,0.7777777777777778,0.6875,0.7,0.3333333333333333
1,RDB-PFN relation-only,0.84,100,50,249,1.0,0.0625,1.0,1.0
1,RDB-PFN schema-aware,1.0,100,50,42,1.0,1.0,1.0,1.0
2,RDB-PFN values-only,0.49,100,50,35,0.0,0.42857142857142855,0.38461538461538464,0.2727272727272727
2,RDB-PFN relation-only,0.86,100,50,249,1.0,0.0,1.0,1.0
2,RDB-PFN schema-aware,1.0,100,50,42,1.0,1.0,1.0,1.0
